AIRPORT,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,AVG_TAXI_OUT,AVG_AIR_TIME,AVG_DISTANCE,TOTAL_AIR_SYSTEM_DELAY,TOTAL_AIRLINE_DELAY,TOTAL_WEATHER_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,NUM_AIRLINES,NUM_DESTINATIONS,PCT_WEATHER_DELAY,PCT_AIRLINE_DELAY,IATA_CODE,AIRPORT_NAME,STATE,LATITUDE,LONGITUDE,Cluster
10135,226,0,0,0.0,0.0,10.075221238938052,44.740323410093104,-2.0,7.601769911504425,44.99353826653756,12.460176991150442,98.14159292035399,596.3318584070796,306.0,1400.0,0.0,1103.0,2,3,0.0,49.839800640797435,0,0,0,0.0,0.0,0
10136,189,7,1,3.7037037037037033,0.5291005291005291,2.270718232044199,33.45691547901818,-6.0,-6.513812154696133,36.291812320382284,9.171270718232044,34.41436464088398,158.0,151.0,732.0,255.0,244.0,1,1,18.45151953690304,52.96671490593343,0,0,0,0.0,0.0,0
10140,1712,6,4,0.35046728971962615,0.23364485981308408,5.603995299647473,26.128082887244226,-1.0,0.3207990599294947,27.756000391600974,11.618683901292597,98.25734430082257,731.2373678025851,1825.0,3093.0,409.0,5453.0,9,21,3.7940630797773656,28.692022263450834,0,0,0,0.0,0.0,0
10141,67,1,0,1.4925373134328357,0.0,1.803030303030303,15.184222273814555,0.0,0.6060606060606061,18.433980986527438,15.272727272727273,44.42424242424242,257.0,67.0,19.0,0.0,184.0,1,1,0.0,7.037037037037037,0,0,0,0.0,0.0,0
10146,82,0,1,0.0,1.2195121951219512,9.74074074074074,48.67642596210659,-3.0,11.987654320987655,50.15687735175518,14.024691358024691,34.46913580246913,145.0,116.0,740.0,0.0,253.0,1,1,0.0,66.726780883679,0,0,0,0.0,0.0,0
10154,28,0,0,0.0,0.0,22.857142857142858,51.747760220425846,0.0,25.535714285714285,58.26280316637908,16.321428571428573,39.357142857142854,172.0,251.0,471.0,0.0,108.0,1,2,0.0,56.74698795180723,0,0,0,0.0,0.0,0
10155,140,5,0,3.571428571428571,0.0,-4.133333333333334,15.649996423632226,-6.0,-12.725925925925926,17.965734229704683,8.829629629629629,26.562962962962963,89.0,53.0,17.0,0.0,233.0,1,1,0.0,5.6105610561056105,0,0,0,0.0,0.0,0
10157,113,3,0,2.6548672566371683,0.0,12.427272727272728,45.72022199110328,-4.0,9.5,46.964509340721094,14.027272727272727,47.054545454545455,250.0,502.0,10.0,0.0,1260.0,1,1,0.0,0.5643340857787811,0,0,0,0.0,0.0,0
10158,232,1,2,0.43103448275862066,0.8620689655172413,0.05240174672489083,21.650875268867704,-5.0,-4.882096069868996,22.43741946121367,10.43231441048035,115.86026200873363,835.9650655021834,813.0,20.0,0.0,0.0,1,6,0.0,2.4009603841536618,0,0,0,0.0,0.0,0
10165,9,0,0,0.0,0.0,17.555555555555557,25.204717371511585,12.0,19.555555555555557,29.62309534430489,11.666666666666666,150.33333333333334,1192.0,31.0,62.0,0.0,0.0,1,1,0.0,66.66666666666666,0,0,0,0.0,0.0,0
10170,29,3,0,10.344827586206897,0.0,-1.2307692307692308,17.713966675609825,-6.0,0.8076923076923077,17.622756267438376,5.846153846153846,40.34615384615385,253.0,4.0,10.0,1.0,111.0,1,1,0.7936507936507936,7.936507936507936,0,0,0,0.0,0.0,0
10185,268,3,0,1.1194029850746268,0.0,2.8679245283018866,28.311068169593554,-5.0,-0.4339622641509434,29.804355382582898,12.4,56.532075471698114,342.6792452830189,234.0,355.0,45.0,1364.0,2,3,2.2522522522522523,17.76776776776777,0,0,0,0.0,0.0,0
10208,213,0,0,0.0,0.0,0.7605633802816901,20.322492968034766,-4.0,3.328638497652582,21.866123029588817,16.774647887323944,33.737089201877936,143.0,345.0,115.0,25.0,740.0,2,1,2.0408163265306123,9.387755102040817,0,0,0,0.0,0.0,0
10257,691,1,2,0.1447178002894356,0.2894356005788712,1.818313953488372,19.666294962719306,-3.0,-5.853197674418604,22.57654529216407,13.713662790697674,106.48691860465117,688.5508720930233,859.0,993.0,19.0,971.0,6,11,0.6685432793807178,34.94018296973962,0,0,0,0.0,0.0,0
10268,54,0,0,0.0,0.0,-5.981481481481482,4.904717562467296,-6.0,-17.64814814814815,8.87046702181938,11.537037037037036,40.68518518518518,234.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0,0,0,0.0,0.0,0
10279,290,3,0,1.0344827586206897,0.0,3.421602787456446,29.049751516258382,-4.0,0.30313588850174217,32.41991893848553,10.341463414634147,65.44250871080139,425.98257839721254,579.0,617.0,135.0,728.0,4,5,6.556580864497328,29.96600291403594,0,0,0,0.0,0.0,0
10299,1157,6,3,0.5185825410544511,0.25929127052722556,1.387630662020906,26.788826809127276,-4.0,-1.6785714285714286,28.66638202604353,12.199477351916377,165.1114982578397,1332.1646341463415,1505.0,3060.0,20.0,1854.0,4,19,0.31060723714862554,47.52290728373971,0,0,0,0.0,0.0,0
10333,51,3,0,5.88235294117647,0.0,-1.1875,29.208462960427035,-9.5,4.770833333333333,27.78353988699932,12.416666666666666,42.416666666666664,198.0,26.0,125.0,0.0,201.0,1,1,0.0,35.51136363636363,0,0,0,0.0,0.0,0
