ROUTE,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,DISTANCE,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,MEDIAN_ARR_DELAY,AVG_AIR_TIME,STD_AIR_TIME,AVG_TAXI_OUT,AVG_TAXI_IN,AVG_ELAPSED_TIME,NUM_AIRLINES,DAILY_FREQUENCY,DELAY_VARIABILITY,Cluster
10136-11298,201,7,2,158,3.482587064676617,0.9950248756218906,2.8802083333333335,34.24581946372011,-6.0,-6.005208333333333,37.05443814637869,-16.0,34.421875,3.5806549204979032,9.114583333333334,9.927083333333334,53.463541666666664,1,0.5506849315068493,5.289555482605732,2
10140-11259,145,0,2,580,0.0,1.3793103448275863,6.65034965034965,18.087525364751954,0.0,7.20979020979021,22.68270208549546,0.0,82.64335664335664,9.233592676960713,9.342657342657343,5.741258741258742,97.72727272727273,1,0.3972602739726027,2.7628844959334335,2
10140-11292,161,0,0,349,0.0,0.0,8.391304347826088,26.755180319202548,0.0,2.9937888198757765,27.424326995937825,-4.0,55.82608695652174,4.858710242172433,10.745341614906833,6.782608695652174,73.35403726708074,3,0.4410958904109589,6.8667443955614145,2
10140-11298,185,4,1,569,2.1621621621621623,0.5405405405405406,9.661111111111111,45.000579001723736,-3.0,5.35,47.860186857486454,-8.5,78.98333333333333,6.226161240996146,12.6,11.938888888888888,103.52222222222223,1,0.5068493150684932,7.537037300391568,4
10140-12889,119,0,0,486,0.0,0.0,9.201680672268907,31.810503497188208,0.0,2.142857142857143,32.03104577534849,-6.0,70.73949579831933,3.971214613482641,9.369747899159664,5.4789915966386555,85.58823529411765,1,0.32602739726027397,10.191696383065429,2
10140-12892,176,0,0,677,0.0,0.0,7.409090909090909,36.72916672498422,-2.5,3.1136363636363638,36.643278648749074,-6.0,95.5340909090909,5.371775686490831,13.136363636363637,10.028409090909092,118.69886363636364,2,0.4821917808219178,8.907758345552262,2
10140-14107,176,0,0,328,0.0,0.0,11.147727272727273,24.58991187934122,4.0,8.198863636363637,24.817740172560587,3.0,54.35795454545455,3.044854079202545,11.568181818181818,6.306818181818182,72.23295454545455,2,0.4821917808219178,2.697913693866994,2
10155-11298,148,7,0,89,4.72972972972973,0.0,-4.120567375886525,15.325737072605751,-6.0,-12.574468085106384,17.705218779683978,-16.0,26.666666666666668,4.105165155311168,8.858156028368795,12.049645390070921,47.57446808510638,1,0.4054794520547945,1.3043029508544624,2
10157-14771,122,3,0,250,2.459016393442623,0.0,12.235294117647058,45.03740552375399,-4.0,9.252100840336135,46.257426062071914,-7.0,47.075630252100844,3.025764124992892,13.890756302521009,5.109243697478991,66.07563025210084,1,0.33424657534246577,4.511994837202097,4
10185-10397,111,0,0,500,0.0,0.0,7.342342342342342,34.48174628975202,-4.0,9.252252252252251,33.79227143175801,0.0,75.58558558558559,3.519990879297246,13.324324324324325,9.585585585585585,98.49549549549549,1,0.3041095890410959,3.296082714345465,2
10208-10397,223,0,0,143,0.0,0.0,0.5426008968609866,19.915965944718078,-4.0,2.9596412556053813,21.485867633838552,-2.0,33.7219730941704,3.8559433076830407,16.68609865470852,8.74439461883408,59.152466367713004,2,0.6109589041095891,5.426215721796146,2
10257-10821,175,0,0,289,0.0,0.0,3.5542857142857143,17.192492729087814,-2.0,-4.6,19.93379847994558,-9.0,56.46857142857143,4.801566520512146,10.2,5.691428571428571,72.36,1,0.4794520547945205,3.5596068714188536,2
10257-13930,104,0,0,723,0.0,0.0,-0.625,16.084236690092343,-4.5,-5.759615384615385,17.255079562969893,-8.0,113.36538461538461,6.2271838954788,13.182692307692308,11.596153846153847,138.14423076923077,3,0.28493150684931506,2.552671798789287,2
10279-11259,114,2,0,323,1.7543859649122806,0.0,8.321428571428571,38.72267168527118,-2.0,12.142857142857142,42.86304549656579,1.0,53.6875,9.772208479077724,9.267857142857142,5.866071428571429,68.82142857142857,1,0.31232876712328766,3.2613186790865276,4
10299-14747,487,1,0,1448,0.20533880903490762,0.0,1.4506172839506173,32.53002783519223,-4.0,1.3909465020576133,33.22704525566298,-3.0,180.0185185185185,10.784566419297224,12.574074074074074,8.024691358024691,200.6172839506173,2,1.3342465753424657,13.897025812609472,0
10397-10185,111,0,0,500,0.0,0.0,9.162162162162161,32.89723407564851,-3.0,9.63063063063063,34.5598105865832,1.0,78.55855855855856,5.0948899259849885,17.62162162162162,3.054054054054054,99.23423423423424,1,0.3041095890410959,3.2509652331446905,2
10397-10208,222,0,0,143,0.0,0.0,4.094594594594595,21.22461363707353,-2.0,0.08558558558558559,23.037582306403518,-6.0,29.324324324324323,4.065442403919485,17.144144144144143,3.689189189189189,50.15765765765766,2,0.6082191780821918,21.221341377682908,2
10397-10423,299,3,2,813,1.0033444816053512,0.6688963210702341,7.061224489795919,25.71522290940699,-1.0,-3.108843537414966,29.699433867278834,-10.0,115.70068027210884,6.963498165641027,17.289115646258505,5.496598639455782,138.48639455782313,3,0.8191780821917808,7.228173474321173,2
10397-10431,155,1,0,164,0.6451612903225806,0.0,10.564935064935066,66.88444090830598,-3.0,6.266233766233766,67.00385728900334,-7.0,34.688311688311686,4.25267233249576,13.779220779220779,3.487012987012987,51.95454545454545,2,0.4246575342465753,9.22126364835256,4
10397-10529,198,0,0,859,0.0,0.0,3.3434343434343434,17.55291441297052,-1.0,-8.277777777777779,18.260901371359772,-12.0,109.67171717171718,5.081898610072214,16.31313131313131,4.909090909090909,130.8939393939394,1,0.5424657534246575,1.968240866374107,2
10397-10599,313,0,0,134,0.0,0.0,2.440894568690096,17.057327599545225,-2.0,-5.674121405750799,17.804202217831,-10.0,29.62619808306709,3.2350569565186005,14.900958466453675,3.268370607028754,47.79552715654952,2,0.8575342465753425,2.66764734044093,2
10397-10693,321,0,0,214,0.0,0.0,2.8411214953271027,16.462162790420884,-2.0,-5.146417445482866,16.91431701067751,-9.0,39.15264797507788,3.099153235775247,16.588785046728972,5.186915887850467,60.92834890965732,2,0.8794520547945206,2.7518985101000917,2
10397-10721,464,0,0,946,0.0,0.0,6.5,25.323906017491094,-1.0,-5.426724137931035,27.11106301570749,-11.0,120.98922413793103,6.8609997635380555,16.40948275862069,8.260775862068966,145.6594827586207,3,1.2712328767123289,4.218488678500427,2
10397-10781,228,0,1,448,0.0,0.43859649122807015,5.594713656387666,23.916587502644003,-3.0,1.4449339207048457,26.135120445130053,-5.0,69.61233480176212,5.323135953832767,16.506607929515418,4.066079295154185,90.18502202643172,2,0.6246575342465753,10.689499713593735,2
10397-10792,147,0,0,712,0.0,0.0,0.5782312925170068,10.71545112165876,-2.0,-10.496598639455783,12.04237617615159,-12.0,93.85034013605443,5.218977149428304,15.312925170068027,4.129251700680272,113.29251700680273,1,0.40273972602739727,1.0474729573338957,2
10397-10821,577,1,1,577,0.17331022530329288,0.17331022530329288,4.074782608695652,20.675010768857646,-1.0,-4.511304347826087,23.00392621093218,-9.0,81.17217391304348,5.3112127106251785,15.709565217391305,7.497391304347826,104.37913043478261,3,1.5808219178082192,4.1739531622865265,2
10397-10868,223,5,0,192,2.242152466367713,0.0,3.6559633027522938,20.541426866977034,-3.0,-3.6513761467889907,20.554469009297588,-9.0,33.24770642201835,2.7713343815621854,16.073394495412845,4.3807339449541285,53.70183486238532,2,0.6109589041095891,4.419008130204018,2
10397-10874,174,0,0,528,0.0,0.0,1.632183908045977,13.305755147997724,-2.0,-6.206896551724138,14.609077810552783,-9.0,72.86206896551724,3.9275885431142563,16.833333333333332,4.32183908045977,94.01724137931035,2,0.4767123287671233,2.027096921081487,2
10397-10980,275,0,0,106,0.0,0.0,3.152727272727273,18.125030627162193,-2.0,-1.6218181818181818,20.439394934666947,-7.0,24.509090909090908,3.9847919254066038,15.061818181818182,4.1054545454545455,43.67636363636364,2,0.7534246575342466,7.79588572404079,2
10397-10994,312,0,0,259,0.0,0.0,-0.01282051282051282,9.462049552276646,-2.0,-7.814102564102564,12.18100597600697,-10.0,43.30448717948718,3.6731728042655267,15.615384615384615,6.214743589743589,65.13461538461539,1,0.8547945205479452,1.3819904961869727,2
10397-11042,286,0,1,554,0.0,0.34965034965034963,6.021052631578947,27.953172215622224,-2.0,-3.357894736842105,30.08564621590031,-10.0,78.01052631578948,4.0685016539178,15.375438596491229,6.964912280701754,100.35087719298245,3,0.7835616438356164,6.903711088189684,2
10397-11057,582,0,0,226,0.0,0.0,2.8969072164948453,16.39191976089093,-2.0,-2.6580756013745703,19.27993602041369,-7.0,41.07903780068729,4.0262401497967595,20.982817869415808,9.290378006872853,71.35223367697594,2,1.5945205479452054,5.270513275660295,2
10397-11066,292,0,0,447,0.0,0.0,0.07876712328767123,8.504938600917463,-2.0,-6.4965753424657535,9.842923841188899,-8.0,66.64041095890411,2.8761629356825855,16.20205479452055,4.623287671232877,87.46575342465754,2,0.8,1.3129893840233706,2
10397-11146,141,0,2,363,0.0,1.4184397163120568,3.79136690647482,23.093845977469208,-2.0,0.6762589928057554,26.91484581107397,-5.0,58.115107913669064,7.3652918285804745,16.62589928057554,3.0215827338129495,77.76258992805755,2,0.3863013698630137,16.056495998881037,2
10397-11150,112,0,1,83,0.0,0.8928571428571428,5.756756756756757,21.754922626308247,-2.0,5.306306306306307,22.47333482264655,-1.0,21.315315315315317,3.360146051971773,17.46846846846847,3.4054054054054053,42.189189189189186,1,0.30684931506849317,3.5636288075910953,2
10397-11193,234,0,0,373,0.0,0.0,1.6837606837606838,13.332750069778124,-2.0,-5.726495726495727,15.206799886059521,-8.0,58.13247863247863,2.9682823766922555,15.82905982905983,5.333333333333333,79.2948717948718,2,0.6410958904109589,2.2607313680672987,2
10397-11252,119,0,0,366,0.0,0.0,1.4369747899159664,9.104514297921334,-1.0,-6.394957983193278,11.537865801090875,-10.0,53.63865546218487,3.0965565687837135,14.974789915966387,3.689075630252101,72.30252100840336,1,0.32602739726027397,1.5602341253747887,2
10397-11259,279,0,3,721,0.0,1.0752688172043012,2.050724637681159,13.217246289336927,-1.0,-7.427536231884058,18.385523032552015,-12.0,107.40579710144928,8.93136469764385,15.18840579710145,6.391304347826087,128.9855072463768,2,0.7643835616438356,2.181601185289921,2
10397-11267,118,0,0,432,0.0,0.0,1.7118644067796611,17.504627810521313,-2.0,-5.5508474576271185,18.693020525578376,-9.5,64.08474576271186,5.068043455291745,16.10169491525424,5.084745762711864,85.27118644067797,1,0.3232876712328767,2.8535270660003214,2
10397-11278,607,0,3,547,0.0,0.4942339373970346,4.466887417218543,21.880890355895943,-1.0,-4.9718543046357615,24.497081476527484,-10.0,77.62748344370861,5.040990152355323,15.993377483443709,4.874172185430464,98.49503311258277,2,1.663013698630137,4.102089606826338,2
10397-11292,480,0,1,1199,0.0,0.20833333333333334,5.993736951983299,24.857122313932965,-1.0,-8.484342379958246,25.465935593748714,-14.0,165.55741127348642,6.677598093403608,15.711899791231733,8.363256784968685,189.63256784968684,5,1.3150684931506849,2.685050219988033,2
10397-11298,635,4,3,731,0.6299212598425197,0.47244094488188976,5.875796178343949,28.0750961545278,-1.0,-2.609872611464968,33.77322389078908,-10.0,111.828025477707,10.94800140897983,16.089171974522294,11.385350318471337,139.30254777070064,3,1.7397260273972603,9.355793825944218,2
10397-11308,118,0,0,170,0.0,0.0,2.830508474576271,20.009102665607813,-3.0,-2.194915254237288,22.09391704758523,-8.0,32.74576271186441,2.1609844253957147,17.483050847457626,3.5084745762711864,53.73728813559322,1,0.3232876712328767,6.915337431339674,2
10397-11433,446,0,0,594,0.0,0.0,4.531390134529148,18.360501115417584,-1.0,-0.7286995515695067,20.45395885670487,-5.0,86.73094170403587,4.850509762272138,17.594170403587444,7.356502242152466,111.68161434977578,3,1.2219178082191782,11.831991764060145,2
10397-11481,185,0,1,240,0.0,0.5405405405405406,-0.8858695652173914,7.784180139353805,-2.0,-7.385869565217392,9.03714352957563,-9.0,40.891304347826086,3.496935494432436,15.98913043478261,3.5869565217391304,60.46739130434783,1,0.5068493150684932,1.0776632595216564,2
10397-11618,469,2,1,746,0.42643923240938164,0.21321961620469082,7.568669527896995,25.417811999229755,-1.0,-4.587982832618025,31.072544071286966,-13.0,100.94635193133047,6.424693423635555,18.006437768240342,6.982832618025751,125.93562231759657,3,1.284931506849315,5.560601204769481,2
10397-11624,124,0,0,646,0.0,0.0,1.6451612903225807,13.577955321236008,-2.0,-5.854838709677419,17.55673430584313,-10.5,84.84677419354838,4.966627415415442,15.911290322580646,3.2580645161290325,104.01612903225806,2,0.33972602739726027,2.5612177104994682,2
10397-11641,150,0,0,331,0.0,0.0,2.3666666666666667,20.398847403505393,-2.0,-2.3066666666666666,21.544381122274885,-6.5,50.56666666666667,3.824008695805076,18.26,4.8,73.62666666666667,2,0.410958904109589,6.515437839397647,2
10397-11697,673,1,1,581,0.1485884101040119,0.1485884101040119,6.815201192250373,25.17778827280521,-1.0,1.0819672131147542,27.208934326229542,-4.0,82.71684053651266,4.983584950426311,15.771982116244411,5.532041728763041,104.02086438152011,3,1.8438356164383563,13.068858219685056,2
10397-11823,114,0,0,508,0.0,0.0,1.4298245614035088,19.350044841477214,-3.0,-0.9912280701754386,20.17292306601028,-6.5,76.12280701754386,3.865299106623853,18.70175438596491,4.982456140350878,99.80701754385964,2,0.31232876712328766,10.13089528425186,2
10397-11953,177,0,0,300,0.0,0.0,8.401129943502825,29.85804670874215,-2.0,4.4858757062146895,30.396266843268616,-4.0,47.067796610169495,3.098007461437884,17.491525423728813,3.9096045197740112,68.46892655367232,2,0.4849315068493151,5.540823101193146,2
10397-11973,116,0,0,352,0.0,0.0,0.4482758620689655,13.033298376340376,-2.0,-7.853448275862069,13.982134134763506,-11.0,55.37931034482759,3.147546103993014,16.146551724137932,4.060344827586207,75.58620689655173,2,0.3178082191780822,1.5792868156110678,2
10397-11986,114,0,1,640,0.0,0.8771929824561403,2.495575221238938,18.727903119317002,-2.0,-7.663716814159292,18.500294698168723,-11.0,87.29203539823008,4.135390411542619,17.5929203539823,4.389380530973451,109.27433628318585,1,0.31232876712328766,2.1353762011165123,2
10397-11995,246,0,0,306,0.0,0.0,1.6544715447154472,18.619896104545937,-2.0,-7.333333333333333,19.567848125742103,-11.0,48.67479674796748,3.0785523631079474,16.23170731707317,4.264227642276423,69.17073170731707,2,0.673972602739726,2.3481417750890525,2
10397-11996,227,0,0,153,0.0,0.0,4.242290748898679,38.98261888662976,-2.0,-4.180616740088106,39.06153499841126,-10.0,28.634361233480178,2.825807099350253,15.969162995594713,4.39647577092511,49.0,2,0.6219178082191781,7.5399391536048945,2
10397-12191,370,0,0,696,0.0,0.0,6.124324324324324,24.15040277405889,-1.0,-4.264864864864865,25.31235991259671,-10.0,103.8108108108108,7.035865678427129,15.556756756756757,4.629729729729729,123.9972972972973,3,1.0136986301369864,4.807789100441879,2
10397-12197,188,0,0,780,0.0,0.0,10.27127659574468,25.394130116050302,0.0,9.595744680851064,26.61603358555725,3.0,109.34574468085107,5.42450697419343,19.079787234042552,5.122340425531915,133.54787234042553,1,0.5150684931506849,2.5119549769501823,2
10397-12217,247,0,0,151,0.0,0.0,0.8582995951417004,12.841757421873208,-2.0,-6.672064777327935,14.046154646504162,-9.0,31.295546558704455,2.0216562287828075,14.8582995951417,4.534412955465587,50.688259109311744,2,0.6767123287671233,1.830818046272574,2
10397-12264,231,1,0,534,0.4329004329004329,0.0,4.482608695652174,19.104793796411872,-1.0,-4.069565217391304,22.108790853366706,-9.0,75.99130434782609,4.422048078467484,17.156521739130437,5.8,98.94782608695652,3,0.6328767123287671,4.361082243803039,2
10397-12266,401,1,2,689,0.24937655860349126,0.4987531172069825,8.829145728643216,24.53899286965125,0.0,-0.04271356783919598,29.1767079504277,-8.0,100.76130653266331,7.809818163672575,16.969849246231156,7.198492462311558,124.92964824120602,5,1.0986301369863014,27.981517504265604,0
10397-12323,149,0,0,377,0.0,0.0,3.751677852348993,21.120921496669897,-3.0,2.053691275167785,24.279561317472563,-3.0,56.557046979865774,5.225176255058444,18.91275167785235,3.8187919463087248,79.28859060402685,2,0.40821917808219177,7.950889310556949,2
10397-12339,359,0,0,432,0.0,0.0,3.715877437325905,15.37038248767215,-1.0,-2.8412256267409473,16.74254189506983,-7.0,64.48467966573816,3.6477841051172772,15.974930362116991,5.155988857938719,85.61559888579387,3,0.9835616438356164,4.358645787041384,2
10397-12448,206,0,0,341,0.0,0.0,0.06310679611650485,10.274804516958447,-2.0,-8.21359223300971,11.788088643295115,-11.0,53.55339805825243,2.7558475491121492,13.699029126213592,4.067961165048544,71.32038834951456,2,0.5643835616438356,1.279423741053105,2
10397-12451,490,0,0,270,0.0,0.0,3.8489795918367347,17.155181566522685,-1.0,-2.6408163265306124,17.311342645771987,-6.0,42.68163265306122,2.3033427712869776,16.518367346938774,4.818367346938776,64.01836734693877,2,1.3424657534246576,4.7547970271458935,2
10397-12478,185,0,0,760,0.0,0.0,6.908108108108108,17.015887371269454,0.0,-2.1945945945945944,21.80384322357985,-9.0,104.64324324324325,7.015686637060139,17.594594594594593,9.935135135135136,132.17297297297299,1,0.5068493150684932,6.825230112288109,2
10397-12889,421,0,0,1747,0.0,0.0,7.622327790973872,25.092255972841148,0.0,-7.634204275534442,29.417101742031456,-15.0,230.30878859857484,8.073746030039816,17.49643705463183,7.422802850356295,255.22802850356294,4,1.1534246575342466,3.4070425951568755,0
10397-12892,569,1,0,1947,0.17574692442882248,0.0,5.107394366197183,18.852647255561052,0.0,-10.429577464788732,22.479588354551968,-13.0,254.6338028169014,9.094044312101664,16.529929577464788,11.92781690140845,283.09154929577466,5,1.558904109589041,1.9667908480261118,0
10397-12945,229,0,0,304,0.0,0.0,4.497816593886463,21.124240763715225,-2.0,-3.982532751091703,23.128353728456673,-10.0,48.580786026200876,2.7045733348002683,14.986899563318778,3.7729257641921397,67.3406113537118,3,0.6273972602739726,4.64188694462452,2
